Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20251219|JADE|1572|0|3216|Q
20251219|JAGX|58300|0|81071|Q,N
20251219|JAJL|7736|0|10849|Q
20251219|JAKK|16633|0|24881|Q,N
20251219|JAMF|223369|9815|898907|Q,N
20251219|JANB|96|0|719|Q
20251219|JANJ|64|0|1174|Q
20251219|JANM|300|0|810|Q
20251219|JANP|5582|0|7815|Q
20251219|JANT|2302|0|3519|Q
20251219|JANU|4534|0|5587|Q,N
20251219|JANW|10448|0|14892|Q
20251219|JANX|690329|0|1475499|B,Q,N
20251219|JANZ|1336|73|11161|Q
20251219|JAPN|1835|0|9258|Q,N
20251219|JAVA|133768|0|192264|Q,N
20251219|JAZZ|179626|0|380310|B,Q,N
20251219|JBBB|120189|0|374842|B,Q,N
20251219|JBDI|42506|100|104546|Q,N
20251219|JBGS|93383|0|162776|B,Q,N
20251219|JBHT|319581|0|492985|B,Q,N
20251219|JBI|258074|0|646265|Q,N
20251219|JBIO|145705|0|203585|B,Q,N
20251219|JBL|349543|233|584375|B,Q,N
20251219|JBLU|3458281|2000|6502884|B,Q,N
20251219|JBND|187480|0|391927|B,Q,N
20251219|JBS|418893|140|819940|B,Q,N
20251219|JBSS|5973|0|13435|Q,N
20251219|JBTM|84717|0|97043|B,Q,N
20251219|JCAP|36163|0|72004|B,Q,N
20251219|JCE|6756|1366|13561|Q,N
20251219|JCHI|77|0|280|Q
20251219|JCI|536695|2571|1491179|B,Q,N
20251219|JCPB|342743|147|781267|B,Q,N
20251219|JCPI|2282|0|12908|Q,N
20251219|JCSE|1124|0|2961|Q
20251219|JCTC|10937|0|23653|Q
20251219|JD|1240298|29048|3135787|B,Q,N
20251219|JDIV|5|0|78|Q
20251219|JDOC|10|0|15|Q
20251219|JDST|12919684|5369|29371200|B,Q,N
20251219|JDVI|13|0|128|Q
20251219|JDVL|25|0|25|Q
20251219|JDZG|225|0|1259|Q
20251219|JEDI|1132|0|6384|Q,N
20251219|JEF|223519|50|398968|B,Q,N
20251219|JELD|135412|898|292765|B,Q,N
20251219|JEM|14031|0|69247|Q,N
20251219|JEMA|3790|0|19132|B,Q,N
20251219|JEMB|607|0|1480|Q
20251219|JEPI|1643162|412|2983960|B,Q,N
20251219|JEPQ|1754972|9471|2664185|B,Q,N
20251219|JETD|2176|0|2783|Q
20251219|JETS|2179651|2195|2637735|B,Q,N
20251219|JFB|7264|0|16471|Q,N
20251219|JFBR|66410|0|160406|B,Q,N
20251219|JFBRW|801|0|15516|Q
20251219|JFIN|11552|0|43937|B,Q,N
20251219|JFLI|358|0|819|Q
20251219|JFLX|13178|0|71597|Q
20251219|JFR|225826|6748|838427|B,Q,N
20251219|JFU|112|80|870|Q
20251219|JG|250|0|1495|Q,N
20251219|JGH|25552|0|71405|Q,N
20251219|JGLO|9485|0|159918|B,Q,N
20251219|JGRO|192340|900|258401|B,Q,N
20251219|JGRW|13272|0|51421|Q
20251219|JHAC|1|0|7|Q
20251219|JHAI|127|0|2946|Q
20251219|JHCB|8988|0|11019|Q
20251219|JHCP|2|0|485|Q
20251219|JHCR|1|0|3|Q
20251219|JHEM|702|0|6533|Q
